superadmin;supadmin123;superadmin
empleado1@autorapido.com;empleado123;empleado
empleado2@autorapido.com;empleado124;empleado
empleado3@autorapido.com;empleado125;empleado
empleado4@autorapido.com;empleado126;empleado
empleado5@autorapido.com;empleado127;empleado
empleado1@citycar.com;empleado128;empleado
empleado2@citycar.com;empleado129;empleado
empleado3@citycar.com;empleado130;empleado
empleado4@citycar.com;empleado131;empleado
empleado5@citycar.com;empleado132;empleado
empleado1@destinovehiculos.com;emp128;empleado
empleado2@destinovehiculos.com;emp129;empleado
empleado3@destinovehiculos.com;emp130;empleado
empleado4@destinovehiculos.com;emp131;empleado
empleado5@destinovehiculos.com;emp132;empleado
empleado1@turismocar.com;emp133;empleado
empleado2@turismocar.com;emp134;empleado
empleado3@turismocar.com;emp135;empleado
empleado4@turismocar.com;emp136;empleado
empleado5@turismocar.com;emp137;empleado
empleado1@ruedalibre.com;empleado136;empleado
empleado2@ruedalibre.com;empleado137;empleado
empleado3@ruedalibre.com;empleado138;empleado
empleado4@ruedalibre.com;empleado139;empleado
empleado5@ruedalibre.com;empleado140;empleado
empleado1@viajeseguro.com;empleado141;empleado
empleado2@viajeseguro.com;empleado142;empleado
empleado3@viajeseguro.com;empleado143;empleado
empleado4@viajeseguro.com;empleado144;empleado
empleado5@viajeseguro.com;empleado145;empleado
empleado1@paseocar.com;empleado146;empleado
empleado2@paseocar.com;empleado147;empleado
empleado3@paseocar.com;empleado148;empleado
empleado4@paseocar.com;empleado149;empleado
empleado5@paseocar.com;empleado150;empleado
empleado1@rentarueda.com;empleado140;empleado
empleado2@rentarueda.com;empleado141;empleado
empleado3@rentarueda.com;empleado142;empleado
empleado4@rentarueda.com;empleado143;empleado
empleado5@rentarueda.com;empleado144;empleado
empleado1@autodestino.com;empleado145;empleado
empleado2@autodestino.com;empleado146;empleado
empleado3@autodestino.com;empleado147;empleado
empleado4@autodestino.com;empleado148;empleado
empleado5@autodestino.com;empleado149;empleado
empleado1@vialibre.com;empleado150;empleado
empleado2@vialibre.com;empleado151;empleado
empleado3@vialibre.com;empleado152;empleado
empleado4@vialibre.com;empleado153;empleado
empleado5@vialibre.com;empleado154;empleado
empleado1@estilocar.com;empleado141;empleado
empleado2@estilocar.com;empleado142;empleado
empleado3@estilocar.com;empleado143;empleado
empleado4@estilocar.com;empleado144;empleado
empleado5@estilocar.com;empleado145;empleado
empleado1@urbanovehiculos.com;empleado146;empleado
empleado2@urbanovehiculos.com;empleado147;empleado
empleado3@urbanovehiculos.com;empleado148;empleado
empleado4@urbanovehiculos.com;empleado149;empleado
empleado5@urbanovehiculos.com;empleado150;empleado
empleado1@metacar.com;empleado151;empleado
empleado2@metacar.com;empleado152;empleado
empleado3@metacar.com;empleado153;empleado
empleado5@metacar.com;empleado155;empleado
empleado1@rutalista.com;empleado234;empleado
empleado2@rutalista.com;empleado235;empleado
empleado3@rutalista.com;empleado236;empleado
empleado4@rutalista.com;empleado237;empleado
empleado5@rutalista.com;empleado238;empleado
empleado1@carrociudad.com;empleado239;empleado
empleado2@carrociudad.com;empleado240;empleado
empleado3@carrociudad.com;empleado241;empleado
empleado4@carrociudad.com;empleado242;empleado
empleado5@carrociudad.com;empleado243;empleado
ar.ramirez@correo.com;contrasenia123;empleado
juan.perez@email.com;pass1234;adminlocal
luisa.martinez@email.com;pass5678;adminlocal
carlos.rojas@email.com;pass9101;adminlocal
sofia.gutierrez@email.com;pass1121;adminlocal
raul.torres@email.com;pass1314;adminlocal
maria.castro@email.com;pass1516;adminlocal
sergio.lopez@email.com;pass1718;adminlocal
carolina.diaz@email.com;pass1920;adminlocal
fernando.quiroz@email.com;pass2122;adminlocal
lucia.ramirez@email.com;pass2324;adminlocal
felipe.sanchez@email.com;pass2526;adminlocal
natalia.herrera@email.com;pass2728;adminlocal
andres.ortega@email.com;pass2930;adminlocal
diana.cabrera@email.com;pass3132;adminlocal
jose.murillo@email.com;pass3334;adminlocal
cliente1@example.com;Contraseña1;cliente
cliente2@example.com;Contraseña2;cliente
cliente3@example.com;Contraseña3;cliente
cliente4@example.com;Contraseña4;cliente
cliente5@example.com;Contraseña5;cliente
cliente6@example.com;Contraseña6;cliente
cliente7@example.com;Contraseña7;cliente
cliente8@example.com;Contraseña8;cliente
cliente9@example.com;Contraseña9;cliente
cliente10@example.com;Contraseña10;cliente
cliente11@example.com;Contraseña11;cliente
cliente12@example.com;Contraseña12;cliente
cliente13@example.com;Contraseña13;cliente
cliente14@example.com;Contraseña14;cliente
cliente15@example.com;Contraseña15;cliente
cliente17@example.com;Contraseña17;cliente
cliente18@example.com;Contraseña18;cliente
cliente19@example.com;Contraseña19;cliente
cliente20@example.com;Contraseña20;cliente
